,FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
44,43,4259709.902,528502.178,RT,AgrA,200,76,200.835129,229,229,229,8.9366999,0.99,0.0373,5.8102002,10.0072002,9.6813002,1.00132,0.2314,3.9760001,13.2519999,212.1679993,212.1289978,10.7995996,1.3249,0.1045,3.8083,26.9328003,212.0310059,12.4705,2.04862,6.8927999,2.9784999,43.1365013,211.2769928,194.1264298,190.6416736,195.5833333,179.3846154,197.0855
45,44,4260236.423,529033.462,RT,AgrB,177,64,188.120865,229,229,229,8.9403,3.6415999,0.3118,5.9050002,1.6282001,9.8086004,3.18203,2.0156,0.6304,2.7447,208.8480072,208.7779999,11.4708996,2.8083999,1.5531,3.3183999,8.6913004,208.9759979,13.5707998,2.8691199,6.8463998,2.9797001,35.8748016,208.6670074,201.6277627,188.7375782,174.6,179.3846154,170.1278333
46,45,4260740.184,530129.279,RT,AgrB,200,64,199.952271,229,229,229,8.9287004,2.7907,0.0968,5.3758998,8.7566004,9.3765001,2.7458301,0.4476,2.8721001,14.0383997,227.904007,227.8670044,10.4210997,3.03335,0.0877,3.5555,33.7349014,228.1040039,12.2581997,4.7186999,6.3376999,4.0984998,46.0400009,228.1799927,187.4542996,192.2210612,195.5833333,179.3846154,190.5881667
47,46,4261592.829,531439.741,RT,AgrC2,200,64,199.434998,229,229,229,7.4449,3.3913,0.028,6.0012002,8.3023996,8.1212997,4.3410702,0.1907,2.7493,11.9302998,246.5160065,246.6150055,9.7835999,5.2738299,0.0344,3.7918,24.5125999,245.8910065,11.5834999,2.4595201,0.0173,5.4789,52.2184982,244.1799927,193.1851362,179.7002076,174.6,167.0769231,192.8738333
48,47,4261467.331,531031.984,RT,AgrB,155,64,195.829498,229,229,229,8.8458004,3.2211001,0.2651,3.7948,4.1894999,9.6061001,2.8345699,1.5775,2.8740001,8.0255003,238.3630066,238.2579956,11.0417995,2.3392701,0.4653,2.6515,28.7476006,238.3659973,12.9445,1.80942,0.2021,4.5946002,47.4569016,238.8450012,177.0984234,174.2630383,176.6666667,167.0769231,166.5498333
49,48,4261620.789,531389.172,RT,AgrC2,200,64,191.548431,229,229,229,6.9833999,5.2347999,0.0666,5.9377999,8.7656002,8.0522003,4.8965201,0.2215,3.0253999,12.3151999,246.628006,246.7870026,9.6201,3.4715199,0.0103,3.8317001,26.5184002,246.1049957,12.7591,0.407229,4.5661001,5.7378998,52.3546982,244.1210022,187.6533918,207.150825,195.5833333,179.3846154,188.5566667
50,49,4262672.392,527987.572,RT,AgrB,200,64,134.8815,229,229,229,7.4603,8.2687998,0.2186,0.0527,4.4776001,8.3097,7.3678398,0.6532,0.2463,5.9282999,211.727005,211.5319977,9.8191004,4.3964,2.7944,1.8605,14.5809002,212.3970032,12.0691004,2.9742301,6.1022,1.0832,33.1217003,211.9519958,126.8125316,168.7137435,176.6666667,179.3846154,168.9261667
51,50,4261505.099,526658.088,RT,GID3,190,74,189.398666,71,80,76,8.7993002,5.0643001,0.2115,0.067,3.7327001,9.3295002,5.34937,1.1402,0.2519,6.3986001,202.1009979,202.0130005,10.2957001,6.43958,0.2276,0.7356,21.0739002,202.9680023,11.5698996,4.87146,5.2716999,1.8594,30.1802006,205.4210052,135.3540464,167.6572065,136.375,179.3846154,168.1103333
52,51,4257578.788,524005.154,RT,GID3,80,74,200.129807,71,80,76,8.0319004,2.4805,0.0172,2.9123001,11.2117004,8.7574997,3.71175,0.1639,1.885,12.7075996,174.1459961,174.1560059,9.6760998,7.9429798,0.0702,0.8832,19.1900005,173.5249939,11.7944002,8.4264803,0.1171,1.654,21.6000004,171.1840057,159.2081336,134.7632763,136.375,167.0769231,120.7761667
53,52,4257314.204,523386.027,RT,WeC2,175,137,144.446259,155,181,165,6.5207,9.4782,0.0211,2.9575,13.5802002,7.9018998,6.9215398,0.192,1.8195,14.8577995,176.0449982,176.378006,9.4877996,5.9124498,0.004,1.049,21.7546005,176.1040039,11.3621998,5.8255401,0.0466,0.8858,24.8659992,174.173996,140.2286602,133.1957854,136.375,121.95,150.8898333
54,53,4257195.141,522661.068,RT,ZnC2,192,81,200.699722,201,178,152,8.2375002,1.5101,0.0253,3.9215,18.4482994,8.8973999,1.33487,0.2194,2.9517,18.6947002,176.0919952,176.0440063,10.7486,1.07836,0.012,1.9888,27.0767994,176.1679993,11.2413998,5.9612098,0.0086,1.3186001,27.6543007,175.8179932,160.924785,136.4768297,195.5833333,167.0769231,171.5478333
55,54,4257105.012,522078.84,RT,ZnC2,200,81,196.821671,201,178,152,7.6145,4.6933999,0.0422,3.9500999,8.2517004,8.2992001,5.70327,0.2318,1.6473,8.6345997,156.4340057,156.5619965,9.8383999,5.8312502,0.168,1.7958,8.8664999,156.4340057,11.5206003,3.62765,6.9415998,1.9581,8.6006002,156.1410065,169.2620461,178.7822441,174.6,179.3846154,183.272
56,55,4259132.017,522839.419,RT,ZnC2,115,81,102.686729,201,178,152,6.8764,9.9526997,0.0443,4.9766998,24.3024006,7.6829,8.5571003,0.1908,1.3317,29.0046005,225.7449951,225.4140015,9.8577995,2.9489999,0.0067,3.4022,49.1982994,226.5639954,11.8238001,3.68261,0.0117,2.7019,69.3504028,226.7519989,143.8029238,153.159149,100.1875,167.0769231,128.7125
57,56,4259878.024,523099.061,RT,ZnC2,120,81,111.686935,201,178,152,8.6709995,9.2664003,0.2088,1.2016,16.5275993,9.2376003,9.2597599,0.6387,0.1616,19.7768002,210.2030029,209.8910065,10.0146999,8.9018097,0.1371,0.8951,30.4776001,209.8289948,11.2427998,11.2035999,0.0041,0.9745,49.1495018,209.7559967,118.2814932,122.6187713,136.375,167.0769231,132.8618333
58,57,4259688.961,524633.744,RT,TIB,190,79,200.498733,188,174,188,7.6675,2.2004001,0.0351,4.4200001,23.2987003,8.5334997,2.0244,0.1638,2.9907999,30.5804005,221.9259949,221.8730011,10.3654003,1.47566,0.0108,2.7607,45.3688011,221.7279968,11.7687998,6.97786,0.0061,1.7793,57.2840004,221.0610046,157.2047077,138.3363637,195.5833333,167.0769231,185.9333333
59,58,4259924.441,524535.848,RT,TIB,185,79,191.262299,188,174,188,8.0348997,4.493,0.0967,3.5214,17.3547993,8.5908003,5.9391699,0.5573,0.5648,23.1086998,220.154007,220.3200073,10.2302999,7.22435,0.2473,0.6599,39.3235016,220.154007,11.3022003,12.3987999,0.2148,0.3407,50.4626007,217.3059998,151.6828247,115.6393183,176.6666667,121.95,170.0401667
60,59,4260371.953,528145.467,RT,AgrA,200,76,200.290527,229,229,229,7.9703002,2.6406,0.0489,4.9858999,8.9207001,8.8441,2.72614,0.5946,3.9821999,17.3995991,208.5209961,208.6150055,10.7096004,2.6516099,0.0895,2.9902999,35.6817017,208.5059967,12.2510996,2.8691599,4.1086001,1.9881999,42.7616005,207.6369934,183.5485845,167.5601893,195.5833333,179.3846154,191.8228333
61,60,4256949.99,526144.95,RT,WeC2,145,137,188.382477,155,181,165,7.2707,6.8105001,0.1088,3.8652999,15.0790005,8.1985998,5.1560702,0.2493,1.9417,18.2879009,211.3350067,211.1380005,9.9588003,7.9166498,0.1502,1.676,28.0596008,210.4329987,11.2707996,5.0071902,0.0091,1.5567,38.2258987,211.75,153.3557783,140.5125917,136.375,167.0769231,149.0111667
62,61,4256946.38,526297.51,RT,GID3,182,74,150.730362,71,80,76,6.8579001,8.3291998,0.0407,2.2658999,4.1327,7.8551998,8.40028,0.2072,0.6855,5.9679999,197.3049927,197.1970062,10.8128004,7.59763,0.5166,0.3378,13.8771,195.8769989,12.3304996,7.51718,0.7601,0.132,20.8530006,195.8769989,149.8962584,126.4679648,136.375,121.95,164.4865
63,62,4256931.28,526293.98,RT,GID3,170,74,183.233536,134,111,102,7.1830001,6.8506999,0.02,2.5676999,4.3920002,7.9840999,7.4571199,0.1647,1.1467,5.5632,197.0700073,197.3329926,10.0718002,8.2450504,0.2502,0.644,13.6367998,196.4539948,12.3304996,7.51718,0.7601,0.132,20.8530006,195.8769989,155.962236,126.4679648,136.375,121.95,166.1155
64,63,4257081.268,526474.362,SS,GoF/GID3,86,86,92.086349,109,125,105,7.3218999,19.1075993,0.0705,0.1082,10.5506001,7.9671998,19.7705002,0.0107,0.0038,10.8649998,188.6439972,188.0509949,8.8550997,28.2224007,0.0011,2.00E-04,11.0151997,186.779007,12.5974998,6.1308498,2.5580001,0.0212,8.3170996,186.8090057,93.66435818,136.6691238,100.1875,88.3,91.94583333
65,64,4256175.697,530018.445,SS,WppD2/AcmF,105,137,92.687592,134,111,102,8.0951004,14.3064003,0.1359,0.0738,20.1315994,8.3247995,21.2754002,0.0016,9.00E-04,19.9480991,202.1439972,202.6100006,8.9823999,25.3029003,3.00E-04,0.0027,20.9972992,202.9819946,10.9825001,15.5278997,0.0589,0.1538,27.2140999,203.9669952,89.86479383,106.8213198,100.1875,121.95,98.59183333
66,65,4256742.36,530687.313,SS,AcmF,63,61,92.841629,122,77,77,7.3231001,15.8610001,0.052,0.2117,4.006,8.3386002,15.1068001,0.0746,0.0808,3.9219,201.9550018,201.8560028,10.8132,13.6316004,0.0623,0.2502,12.5384998,202.6849976,11.6821003,10.4898996,0.6659,0.1207,8.2751999,198.1999969,111.9046028,119.7747557,100.1875,88.3,79.47716667
67,66,4257816.646,530893.688,SS,AgrC2,160,64,102.280258,229,229,229,8.2929001,7.0114999,0.2465,5.5794001,2.1633,8.9799995,7.2620602,0.7501,0.1617,3.6314001,220.0890045,220.0850067,10.1705999,6.53583,0.5815,3.6754999,10.3530998,220.5769958,12.2896996,1.51535,6.6079998,4.4421,33.5287018,222.2359924,189.8313359,203.0732473,174.6,179.3846154,161.3485
68,67,4257776.581,532730.388,SS,AcmF,104,137,93.562561,122,77,77,8.1239996,11.7537003,0.113,0.0987,3.2543001,8.7007999,12.7307997,0.3688,0.0799,3.9574001,237.029007,236.8990021,9.8288002,13.7441998,0.1627,0.1206,11.6574001,236.5299988,12.6834002,5.4191899,0.9493,0.0045,33.1632996,232.7039948,121.2010776,130.5872904,100.1875,112.6923077,112.5671667
69,68,4258610.356,531125.417,SS,WhfC3/AgrC2,101,127,92.027184,109,125,105,8.3158998,20.6564999,0.0782,0.0856,4.7958002,8.9651003,20.2905006,0.0297,0.0011,11.0717001,208.5330048,207.8650055,11.1821003,16.6765003,0.4709,6.00E-04,19.5723991,206.8289948,12.7516003,13.6630001,0.1847,0.2108,30.530899,211.2819977,98.53499971,111.7585862,100.1875,121.95,103.1226667
